         1         1
         2         2
         3         2
         4         2
         5         2
         6         2
         7         2
         8         2
         9         2
        10         3
        11         1
        12         3
        13         2
        14         2
        15         2
        16         3
        17         1
        18         3
        19         2
        20         2
        21         2
        22         4
        23         1
        24         4
        25         1
        26         4
        27         2
        28         4
        29         1
        30         4
        31         1
        32         4
        33        12
        34         1
        35        12
        36         1
        37        12
        38         1
        39        12
        40         1
        41        12
        42         1
        43        12
        44         1
        45        12
        46         1
        47        12
        48         1
        49        12
        50         1
        51        12
        52         1
        53        12
        54         4
        55         1
        56         4
        57         1
        58         4
        59         2
        60         4
        61         1
        62         4
        63         1
        64         4
        65         2
        66         2
        67         2
        68         3
        69         1
        70         3
        71         2
        72         2
        73         2
        74         3
        75         1
        76         3
        77         2
        78         2
        79         2
        80         2
        81         2
        82         2
        83         2
        84         2
        85         1
        86         2
        87         2
        88         2
        89         2
        90         2
        91         2
        92         2
        93         2
        94         3
        95         2
        96         2
        97         2
        98         3
        99         2
       100         2
       101         2
       102         4
       103         2
       104         4
       105        12
       106         4
       107         2
       108         4
       109         2
       110         2
       111         2
       112         3
       113         2
       114         2
       115         2
       116         3
       117         2
       118         2
       119         2
       120         2
       121         2
       122         2
       123         2
       124         2
